Player,Team,Pos,Base_Projection,Proj TD Pts,Total_Projection
A. Ekeler,WAS,RB,7.6,2.4,10.0
A. Iosivas,CIN,WR,4.56,1.33,5.89
A. Jeanty,LV,RB,11.34,3.27,14.61
A. Jones Sr.,MIN,RB,9.25,2.4,11.65
A. Kamara,NO,RB,13.22,3.07,16.29
A. Lazard,NYJ,WR,2.72,0.67,3.39
A. Mitchell,IND,WR,2.83,1.04,3.87
A. Pierce,IND,WR,4.66,1.36,6.02
A. St. Brown,DET,WR,13.16,2.5,15.66
A. Thielen,MIN,WR,10.38,2.93,13.31
A.J. Brown,PHI,WR,12.41,2.35,14.76
AJ Barner,SEA,TE,4.51,1.2,5.71
B. Aiyuk,SF,WR,6.55,1.97,8.52
B. Allen,NYJ,RB,3.01,1.71,4.72
B. Bowers,LV,TE,12.92,2.22,15.14
B. Cooks,NO,WR,1.55,0.8,2.35
B. Hall,NYJ,RB,9.0,2.31,11.31
B. Irving,TB,RB,11.72,3.6,15.32
B. Robinson,ATL,RB,13.61,3.82,17.43
B. Robinson Jr.,SF,RB,5.35,3.65,9.0
B. Strange,JAC,TE,5.37,1.33,6.7
B. Thomas Jr.,JAC,WR,13.17,2.67,15.84
C. Austin III,PIT,WR,4.81,1.2,6.01
C. Brown,CIN,RB,11.27,3.65,14.92
C. Hubbard,CAR,RB,8.73,3.18,11.91
C. Kirk,HOU,WR,7.8,1.69,9.49
C. Kmet,CHI,TE,0.95,0.92,1.87
C. Kupp,SEA,WR,7.53,1.85,9.38
C. Lamb,DAL,WR,13.83,2.4,16.23
C. Loveland,CHI,TE,5.46,1.3,6.76
C. McCaffrey,SF,RB,15.1,3.6,18.7
C. Okonkwo,TEN,TE,6.78,1.0,7.78
C. Olave,NO,WR,9.47,2.0,11.47
C. Otton,TB,TE,6.73,1.67,8.4
C. Ridley,TEN,WR,9.82,1.76,11.58
C. Rodriguez Jr.,WAS,RB,2.75,1.9,4.65
C. Stover,HOU,TE,0.75,0.6,1.35
C. Sutton,DEN,WR,10.42,2.73,13.15
C. Tillman,CLE,WR,7.52,1.69,9.21
D. Achane,MIA,RB,13.91,3.5,17.41
D. Adams,LAR,WR,10.34,2.45,12.79
D. Brown,JAC,WR,4.56,1.14,5.7
D. Douglas,NE,WR,6.75,1.33,8.08
D. Goedert,PHI,TE,7.51,1.62,9.13
D. Henry,BAL,RB,10.09,2.18,12.27
D. Kincaid,BUF,TE,3.05,1.09,4.14
D. Knox,BUF,TE,0.95,1.0,1.95
D. London,ATL,WR,14.03,2.55,16.58
D. Montgomery,DET,RB,6.65,2.45,9.1
D. Njoku,CLE,TE,9.45,1.82,11.27
D. Samuel Sr.,WAS,WR,9.4,2.03,11.43
D. Schultz,HOU,TE,4.91,1.43,6.34
D. Slayton,NYG,WR,4.37,1.25,5.62
D. Smith,PHI,WR,9.85,2.07,11.92
D. Swift,CHI,RB,9.28,2.5,11.78
D. Thornton Jr.,LV,WR,4.45,1.33,5.78
D. Wicks,GB,WR,1.75,1.69,3.44
DJ Moore,CHI,WR,11.04,2.22,13.26
DK Metcalf,PIT,WR,10.04,2.14,12.18
E. Ayomanor,TEN,WR,3.8,0.86,4.66
E. Egbuka,TB,WR,10.39,2.03,12.42
E. Engram,DEN,TE,7.07,2.0,9.07
E. Wilson,GB,RB,1.25,1.09,2.34
G. Calcaterra,PHI,TE,0.06,0.46,0.52
G. Kittle,SF,TE,10.84,2.4,13.24
G. Pickens,DAL,WR,10.01,1.85,11.86
G. Wilson,NYJ,WR,10.07,1.88,11.95
H. Henry,NE,TE,6.71,1.79,8.5
H. Renfrow,CAR,WR,1.85,1.09,2.94
I. Pacheco,KC,RB,7.34,2.31,9.65
I. TeSlaa,DET,WR,2.49,1.09,3.58
J. Addison,MIN,WR,5.16,2.11,7.27
J. Blue,DAL,RB,1.86,0.89,2.75
J. Chase,CIN,WR,15.09,3.45,18.54
J. Coker,CAR,WR,3.45,1.4,4.85
J. Conner,ARI,RB,10.95,3.65,14.6
J. Cook,BUF,RB,8.1,2.07,10.17
J. Croskey-Merritt,WAS,RB,2.85,1.67,4.52
J. Dotson,PHI,WR,1.42,0.63,2.05
J. Downs,IND,WR,9.14,1.64,10.78
J. Ferguson,DAL,TE,7.35,1.56,8.91
J. Ford,CLE,RB,4.95,2.55,7.5
J. Gibbs,DET,RB,11.53,3.21,14.74
J. Higgins,HOU,WR,1.76,1.22,2.98
J. Hill,BAL,RB,5.09,0.8,5.89
J. Jacobs,GB,RB,11.11,3.78,14.89
J. Jefferson,MIN,WR,14.22,2.73,16.95
J. Jennings,SF,WR,9.41,2.14,11.55
J. Jeudy,CLE,WR,10.53,2.07,12.6
J. Johnson,NO,TE,5.13,1.15,6.28
J. Mason,MIN,RB,4.05,2.26,6.31
J. McMillan,TB,WR,3.86,1.79,5.65
J. Metchie III,PHI,WR,0.56,1.3,1.86
J. Meyers,LV,WR,9.83,2.0,11.83
J. Mixon,HOU,RB,6.75,2.93,9.68
J. Palmer,BUF,WR,2.95,0.92,3.87
J. Reed,GB,WR,3.45,2.0,5.45
J. Reynolds,NYJ,WR,3.68,0.75,4.43
J. Sanders,CAR,TE,4.64,1.25,5.89
J. Smith,PIT,TE,5.27,1.2,6.47
J. Smith-Njigba,SEA,WR,11.55,2.4,13.95
J. Smith-Schuster,KC,WR,3.6,1.15,4.75
J. Taylor,IND,RB,11.41,3.74,15.15
J. Thrash,CLE,WR,2.73,1.2,3.93
J. Tolbert,DAL,WR,2.37,0.96,3.33
J. Waddle,MIA,WR,10.31,2.11,12.42
J. Warren,PIT,RB,10.03,2.26,12.29
J. Williams,DAL,RB,7.25,2.0,9.25
J. Williams,DET,WR,8.86,1.88,10.74
J.K. Dobbins,DEN,RB,7.46,2.4,9.86
K. Allen,LAC,WR,7.34,1.58,8.92
K. Coleman,BUF,WR,3.55,1.46,5.01
K. Hunt,KC,RB,3.48,1.46,4.94
K. Johnson,PIT,RB,2.45,1.6,4.05
K. Pitts Sr.,ATL,TE,7.35,1.64,8.99
K. Raymond,DET,WR,2.61,0.63,3.24
K. Shakir,BUF,WR,4.65,1.14,5.79
K. Turpin,DAL,WR,3.93,0.67,4.6
K. Walker III,SEA,RB,9.89,2.73,12.62
K. Williams,LAR,RB,9.55,3.5,13.05
K. Williams,NE,WR,2.45,0.71,3.16
L. McConkey,LAC,WR,12.7,2.22,14.92
L. Schoonmaker,DAL,TE,0.36,0.55,0.91
L. Wester,BAL,WR,0.15,0.35,0.5
M. Andrews,BAL,TE,8.03,1.97,10.0
M. Brown,KC,WR,7.58,2.0,9.58
M. Evans,TB,WR,12.71,2.79,15.5
M. Gesicki,CIN,TE,4.53,1.5,6.03
M. Golden,GB,WR,8.45,1.9,10.35
M. Harrison Jr.,ARI,WR,10.36,2.5,12.86
M. Mayer,LV,TE,2.93,0.86,3.79
M. Mims Jr.,DEN,WR,7.18,1.71,8.89
M. Nabers,NYG,WR,13.63,2.4,16.03
M. Pittman Jr.,IND,WR,9.07,1.94,11.01
M. Taylor,NYJ,TE,4.78,0.92,5.7
M. Washington,MIA,WR,3.44,1.2,4.64
M. Wilson,ARI,WR,4.95,1.13,6.08
N. Brown,WAS,WR,3.68,1.33,5.01
N. Chubb,HOU,RB,5.36,2.18,7.54
N. Collins,HOU,WR,13.39,2.61,16.0
N. Gray,KC,TE,3.51,1.2,4.71
N. Harris,LAC,RB,2.15,2.07,4.22
O. Gordon II,MIA,RB,2.85,1.94,4.79
O. Hampton,LAC,RB,7.62,2.45,10.07
O. Zaccheaus,CHI,WR,4.5,1.2,5.7
P. Bryant,DEN,WR,0.45,0.86,1.31
P. Freiermuth,PIT,TE,5.35,1.18,6.53
P. Nacua,LAR,WR,13.56,2.67,16.23
P. Washington,JAC,WR,2.87,1.09,3.96
Q. Johnston,LAC,WR,4.82,1.36,6.18
R. Bateman,BAL,WR,6.25,1.2,7.45
R. Davis,BUF,RB,1.65,0.92,2.57
R. Doubs,GB,WR,6.28,1.85,8.13
R. Dowdle,CAR,RB,2.45,1.41,3.86
R. McCloud III,ATL,WR,2.85,1.48,4.33
R. Odunze,CHI,WR,9.55,2.07,11.62
R. Pearsall,SF,WR,7.5,2.18,9.68
R. Rice,KC,WR,11.72,2.31,14.03
R. Shaheed,NO,WR,7.6,1.36,8.96
R. Stevenson,NE,RB,6.91,2.4,9.31
R. White,TB,RB,4.65,1.5,6.15
RJ Harvey,DEN,RB,7.22,2.35,9.57
S. Barkley,PHI,RB,13.52,3.96,17.48
S. Diggs,NE,WR,9.27,2.03,11.3
S. LaPorta,DET,TE,7.65,1.88,9.53
T. Allgeier,ATL,RB,2.35,1.76,4.11
T. Atwell,LAR,WR,4.76,1.2,5.96
T. Benson,ARI,RB,2.55,1.36,3.91
T. Bigsby,JAC,RB,4.45,2.55,7.0
T. Conklin,LAC,TE,3.43,0.92,4.35
T. Etienne Jr.,JAC,RB,7.88,2.4,10.28
T. Franklin,DEN,WR,3.48,1.15,4.63
T. Harris,LAC,WR,5.68,0.63,6.31
T. Henderson,NE,RB,8.92,2.61,11.53
T. Higbee,LAR,TE,4.81,1.41,6.22
T. Higgins,CIN,WR,11.83,2.73,14.56
T. Hill,MIA,WR,12.46,2.55,15.01
T. Horton,SEA,WR,4.59,1.09,5.68
T. Hunter,JAC,WR,9.21,2.18,11.39
T. Johnson,NYG,TE,4.83,1.22,6.05
T. Kelce,KC,TE,10.32,2.35,12.67
T. Kraft,GB,TE,7.44,2.03,9.47
T. Lockett,TEN,WR,4.7,1.0,5.7
T. McBride,ARI,TE,12.82,2.14,14.96
T. McLaurin,WAS,WR,10.39,2.61,13.0
T. McMillan,CAR,WR,12.16,2.26,14.42
T. Pollard,TEN,RB,10.19,2.55,12.74
T. Spears,TEN,RB,2.05,1.2,3.25
T. Tracy Jr.,NYG,RB,8.24,2.4,10.64
T. Tremble,CAR,TE,0.85,1.0,1.85
T. Tucker,LV,WR,3.7,1.2,4.9
T. Warren,IND,TE,7.22,1.69,8.91
T.J. Hockenson,MIN,TE,8.63,1.97,10.6
W. Dissly,LAC,TE,3.25,0.89,4.14
W. Robinson,NYG,WR,8.23,1.22,9.45
W. Shipley,PHI,RB,1.15,0.86,2.01
X. Hutchinson,HOU,WR,2.35,0.86,3.21
X. Legette,CAR,WR,7.18,1.67,8.85
X. Worthy,KC,WR,12.07,2.61,14.68
Z. Charbonnet,SEA,RB,5.21,1.36,6.57
